"state","puma12","county","stab","CountyName","PUMA12name","pop20","afact2","afact"
"State code","PUMA (2012)","County code","State abbr.","County name","PUMA12 name","Total population (2020 Census)","county-to-puma12 allocation factor","puma12-to-county allocation factor"
"01","00100","01033","AL","Colbert AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",57227,1,0.301 
"01","00100","01059","AL","Franklin AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",32113,1,0.1689 
"01","00100","01077","AL","Lauderdale AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",93564,1,0.4921 
"01","00100","01093","AL","Marion AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",7230,0.2464,0.038 
"01","00200","01083","AL","Limestone AL","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",103570,1,0.4874 
"01","00200","01089","AL","Madison AL","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",108924,0.2806,0.5126 
"01","00301","01089","AL","Madison AL","Huntsville (North) & Madison (East) Cities",135878,0.3501,1 
"01","00302","01089","AL","Madison AL","Huntsville City (Central & South)",105671,0.2722,1 
"01","00400","01049","AL","DeKalb AL","DeKalb & Jackson Counties",71539,0.999,0.5762 
"01","00400","01071","AL","Jackson AL","DeKalb & Jackson Counties",52570,0.9998,0.4234 
"01","00400","01089","AL","Madison AL","DeKalb & Jackson Counties",44,0.0001,0.0004 
"01","00500","01043","AL","Cullman AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",10,0.0001,0.0001 
"01","00500","01071","AL","Jackson AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",9,0.0002,0.0001 
"01","00500","01089","AL","Madison AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",37636,0.097,0.278 
"01","00500","01095","AL","Marshall AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",97612,1,0.7211 
"01","00500","01103","AL","Morgan AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",90,0.0007,0.0007 
"01","00600","01079","AL","Lawrence AL","Morgan & Lawrence Counties--Decatur City",33073,1,0.2115 
"01","00600","01103","AL","Morgan AL","Morgan & Lawrence Counties--Decatur City",123331,0.9993,0.7885 
"01","00700","01043","AL","Cullman AL","Cullman & Winston Counties",87856,0.9999,0.7903 
"01","00700","01127","AL","Walker AL","Cullman & Winston Counties",19,0.0003,0.0002 
"01","00700","01133","AL","Winston AL","Cullman & Winston Counties",23287,0.9893,0.2095 
"01","00800","01009","AL","Blount AL","St. Clair & Blount Counties",59029,0.9982,0.3913 
"01","00800","01073","AL","Jefferson AL","St. Clair & Blount Counties",691,0.001,0.0046 
"01","00800","01115","AL","St. Clair AL","St. Clair & Blount Counties",91103,1,0.604 
"01","00800","01117","AL","Shelby AL","St. Clair & Blount Counties",21,0.0001,0.0001 
"01","00900","01015","AL","Calhoun AL","Etowah County",33,0.0003,0.0003 
"01","00900","01049","AL","DeKalb AL","Etowah County",11,0.0002,0.0001 
"01","00900","01055","AL","Etowah AL","Etowah County",103326,0.9989,0.9996 
"01","01000","01015","AL","Calhoun AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",282,0.0024,0.0018 
"01","01000","01019","AL","Cherokee AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",24971,1,0.1575 
